,Image frame,x_px,y_px,x,y,u,v,up,down
285,285.0,,,,,,,,
286,286.0,,,,,,,,
287,287.0,,,,,,,,
288,288.0,,,,,,,,
289,289.0,,,,,,,,
290,290.0,,,,,,,,
291,291.0,,,,,,,,
292,292.0,,,,,,,,
293,293.0,,,,,,,,
294,294.0,,,,,,,,
295,295.0,,,,,,,,
296,296.0,,,,,,,,
297,297.0,,,,,,,,
298,298.0,,,,,,,,
299,299.0,,,,,,,,
300,300.0,,,,,,,,
301,301.0,,,,,,,,
302,302.0,,,,,,,,
303,303.0,,,,,,,,
304,304.0,,,,,,,,
305,305.0,,,,,,,,
306,306.0,,,,,,,,
307,307.0,,,,,,,,
308,308.0,,,,,,,,
309,309.0,,,,,,,,
310,310.0,,,,,,,,
311,311.0,,,,,,,,
312,312.0,,,,,,,,
313,313.0,53.0,166.0,2.22751848783,0.377799044538,,,,
314,314.0,108.0,163.0,2.13756633437,0.382705525636,-2.42870814346,0.132474989643,,2.13756633437
315,315.0,174.0,162.0,2.02962375022,0.384341019336,-2.91444977215,0.0441583298811,,2.02962375022
316,316.0,239.0,163.0,1.92331665976,0.382705525636,-2.87029144227,-0.0441583298811,,1.92331665976
317,317.0,278.0,163.0,1.85953240549,0.382705525636,-1.72217486536,0.0,,1.85953240549
318,318.0,376.0,164.0,1.69925402296,0.381070031937,-4.32751632835,-0.0441583298811,,1.69925402296
319,319.0,440.0,165.0,1.5945824262,0.379434538238,-2.82613311239,-0.0441583298811,,1.5945824262
320,320.0,509.0,167.0,1.48173336095,0.376163550839,-3.0469247618,-0.0883166597622,,1.48173336095
321,321.0,580.0,174.0,1.3656133083,0.364715094944,-3.13524142156,-0.309108309168,,1.3656133083
322,322.0,641.0,175.0,1.26584819264,0.363079601245,-2.69365812275,-0.0441583298811,,1.26584819264
323,323.0,717.0,211.0,1.1415506715,0.30420182807,-3.35603307096,-1.58969987572,,1.1415506715
324,324.0,785.0,235.0,1.03033709994,0.264949979287,-3.00276643191,-1.05979991715,,1.03033709994
325,325.0,855.0,255.0,0.915852540993,0.232240105301,-3.09108309168,-0.883166597622,,0.915852540993
326,326.0,927.0,273.0,0.798096994644,0.202801218713,-3.17939975144,-0.79484993786,,0.798096994644
327,327.0,981.0,270.0,0.709780334882,0.207707699811,-2.38454981358,0.132474989643,,0.709780334882
328,328.0,,,,,,,,
329,329.0,,,,,,,,
330,330.0,,,,,,,,
331,331.0,,,,,,,,
332,332.0,,,,,,,,
333,333.0,,,,,,,,
334,334.0,,,,,,,,
335,335.0,,,,,,,,
336,336.0,,,,,,,,
337,337.0,,,,,,,,
338,338.0,,,,,,,,
339,339.0,,,,,,,,
340,340.0,,,,,,,,
341,341.0,,,,,,,,
342,342.0,,,,,,,,
343,343.0,,,,,,,,
344,344.0,,,,,,,,
345,345.0,,,,,,,,
346,346.0,,,,,,,,
347,347.0,,,,,,,,
348,348.0,,,,,,,,
349,349.0,,,,,,,,
350,350.0,,,,,,,,
351,351.0,,,,,,,,
352,352.0,,,,,,,,
353,353.0,,,,,,,,
354,354.0,,,,,,,,
355,355.0,,,,,,,,
356,356.0,,,,,,,,
357,357.0,,,,,,,,
358,358.0,,,,,,,,
359,359.0,,,,,,,,
360,360.0,,,,,,,,
361,361.0,,,,,,,,
362,362.0,,,,,,,,
363,363.0,,,,,,,,
364,364.0,,,,,,,,
365,365.0,,,,,,,,
366,366.0,,,,,,,,
367,367.0,,,,,,,,
368,368.0,,,,,,,,
369,369.0,,,,,,,,
370,370.0,,,,,,,,
371,371.0,,,,,,,,
372,372.0,,,,,,,,
373,373.0,,,,,,,,
374,374.0,,,,,,,,
375,375.0,,,,,,,,
376,376.0,,,,,,,,
377,377.0,,,,,,,,
378,378.0,,,,,,,,
379,379.0,,,,,,,,
380,380.0,,,,,,,,
381,381.0,,,,,,,,
382,382.0,,,,,,,,
383,383.0,,,,,,,,
